Key,Source,Note,en,ko,es,zh-cn,zh-tw
Grenade,Grenade,,Grenade,스로잉 봄,Granada,减速弹,炸彈投擲
GrenadeDescription,Deal 3 damage to a random enemy. Draw a card.,,Deal 3 damage to a random enemy. Draw a card.,무작위 적에게 피해를 3 줍니다. 카드를 한 장 뽑습니다.,Inflige 3 puntos de daño a un enemigo aleatorio. Saca una carta.,对随机敌方造成3点伤害。抽取一张卡牌。,對隨機敵人造成3點傷害。抽取一張卡片。
GrenadeFlavorText,"It may be fun to toss around, but this is no toy.",,"It may be fun to toss around, but this is no toy.",장난감일 뿐이니 마음껏 던지고 놀아도 괜찮습니다.,"Puede que sea divertido arrojarla, pero no es un juguete.",只是一个玩具，可以尽情扔来扔去。,這只是玩具而已，隨便亂丟也無妨。
Griffey,Griffey,,Griffey,그리프,Griffey,天鹰,格瑞芬多
GriffeyDescription,<b>Spawn</b>: Set the ATK of all other minions to 1.,,<b>Spawn</b>: Set the ATK of all other minions to 1.,<b>등장</b>: 다른 모든 하수인들의 공격력을 1로 만듭니다.,<b>Al entrar</b>: deja en 1 el ATQ de todos los demás secuaces.,<b>登场</b>：使其他所有随从的攻击力变为1点。,<b>登場</b>：使其他所有手下的攻擊力變為1。
GriffeyFlavorText,"The body of a unicorn, the wings of an eagle, and the tail of a lion.",,"The body of a unicorn, the wings of an eagle, and the tail of a lion.","유니콘의 몸통에 독수리의 날개, 사자의 꼬리를 가졌다.","Tiene el cuerpo de un unicornio, las alas de un águila y la cola de un león.",独角兽的身躯下，有着鹰翅和狮尾。,牠擁有獨角獸的身體，老鷹的翅膀和獅子的尾巴。
GrimPhantomWatch,Grim Phantom Watch,,Grim Phantom Watch,G. 팬텀워치,Reloj fantasmal sombrío,G.幻影手表,G. 怨靈女巫
GrimPhantomWatchDescription,The cost increases equal to the number of cards in your deck.,,The cost increases equal to the number of cards in your deck.,내 덱에 있는 카드의 수만큼 비용이 증가합니다.,El costo aumenta igual al número de cartas en tu baraja.,增加相当于我的卡组中卡牌数量的费用。,此卡費用等同於我方牌組剩餘張數。
GrimPhantomWatchFlavorText,"Long ago, the king of Ludibrium punished heinous criminals by locking them in a clock, forcing them to reflect on their wrongs for eternity.",,"Long ago, the king of Ludibrium punished heinous criminals by locking them in a clock, forcing them to reflect on their wrongs for eternity.","오래 전, 사악한 죄를 지은 죄인에게 루디브리엄의 국왕은 끔찍한 형벌을 내렸다.\n시계 속에 갇혀 영원한 시간 동안 죄를 뉘우치도록 하는 것이었다.","Hace mucho tiempo, el rey de Ludibrium castigó a terribles criminales encerrándolos en un reloj, obligándolos a reflexionar sobre sus errores por la eternidad.",很久以前，玩具城堡的国王对犯下邪恶罪行的罪人判处了残酷的惩罚。\n那就是囚禁在手表中，被迫在永恒的时间里悔过自新。,很久以前，玩具城國王對犯下了罪行的罪人處以可怕的刑罰。\n將其關在時鐘裡，永遠懺悔自己犯下的罪過。
Hankie,Hankie,,Hankie,헹키,Hankie,变种侏儒怪,變種侏儒怪
HankieDescription,<b>Barrier</b>,,<b>Barrier</b>,<b>결계</b>,<b>Barrera</b>,<b>结界</b>,<b>結界</b>
HankieFlavorText,"It may look gruff at first glance, but it has a sparkling personality.",,"It may look gruff at first glance, but it has a sparkling personality.",험상궂은 생김새와 달리 발랄한 성격을 가지고 있다.,"Puede parecer arisco a primera vista, pero tiene una bella personalidad.",尽管外表凶狠，实则性格非常活泼阳光。,雖然外表兇悍，但個性非常開朗。
Harp,Harp,,Harp,하프,Harp,竖琴,哈維
HarpDescription,<b>Spawn</b>: Increase the cost of enemy skill cards by 3 this round.,,<b>Spawn</b>: Increase the cost of enemy skill cards by 3 this round.,<b>등장</b>: 이번 라운드 동안 적 스킬 카드의 비용이 3 증가합니다.,<b>Al entrar</b>: aumenta en 3 puntos el costo de las cartas de habilidad del enemigo en esta ronda.,<b>登场</b>：在本回合内，使敌方技能卡牌的费用增加3点。,<b>登場</b>：本回合中，敵方技能卡牌的費用增加3。
HarpFlavorText,A beautiful bird with a wonderful voice.,,A beautiful bird with a wonderful voice.,사랑스러운 외양에 예쁜 목소리를 가지고 있습니다.,Un ave hermosa con un canto maravilloso.,拥有可爱的外貌和漂亮的声音。,擁有可愛的外表和美妙的聲音。
Haste,Haste,,Haste,헤이스트,Prisa,轻功,速度激發
HasteDescription,Draw 2 cards. The cost of 1 of those cards is decreased by 1 for this round.,,Draw 2 cards. The cost of 1 of those cards is decreased by 1 for this round.,카드를 두 장 뽑습니다. 이번 라운드 동안 그 카드들 중 한 장의 비용이 1 감소합니다.,Saca 2 cartas. El costo de 1 de esas cartas disminuye en 1 punto por la ronda actual.,抽取两张卡牌。在本回合内，那些卡牌中的其中一张费用减少1点。,抽取兩張卡牌。本回合中，其中一張卡牌的費用將會減少1。
HasteFlavorText,That's my afterimage!,,That's my afterimage!,그건 제 잔상입니다만.,"¡Ahora me ves, ahora no me ves!",那只是我的残影而已。,那只是我的殘影。
Hawk,Silver Hawk,,Silver Hawk,은빛의 매,Halcón de plata,银鹰,銀鷹
HawkDescription,<b>Spawn</b>: <b>Stun</b> a random enemy minion.,,<b>Spawn</b>: <b>Stun</b> a random enemy minion.,<b>등장</b>: 무작위 적 하수인을 <b>기절</b> 상태로 만듭니다.,<b>Al entrar</b>: Le aplica <b>Aturdir</b> a un secuaz enemigo aleatorio.,<b>登场</b>：使敌方随机随从陷入<b>眩晕</b>状态。,<b>登場</b>：使隨機一個敵方手下陷入<b>暈眩</b>狀態。
HawkFlavorText,A remarkably intelligent bird.,,A remarkably intelligent bird.,매우 똑똑하고 영리한 새입니다.,Un ave realmente inteligente.,一只非常聪明又伶俐的鸟。,是非常聰明伶俐的鳥。
Heal,Heal,,Heal,힐,Curación,治愈,群體治癒
HealDescription,Heal ally HP by 4.,,Heal ally HP by 4.,모든 아군의 HP를 4 회복시킵니다.,Sana 4 puntos a un aliado.,使所有我军的血量恢复4点。,恢復所有我方4點HP。
HealFlavorText,This skill is crucial for surviving a zombie apocalypse.,,This skill is crucial for surviving a zombie apocalypse.,좀비 아포칼립스에서 살아남기 위한 필수 스킬입니다.,Esta habilidad es crucial para sobrevivir al apocalipsis zombi.,在僵尸末日世界中生存的必备技能。,在殭屍暗黑烈焰中存活的必備技能。
Heinz,Grendel the Really Old,,Grendel the Really Old,하인즈,Grendel el Longevo,汉斯,漢斯
HeinzDescription,<b>Spawn</b>: Draw 1 card and reduce the cost of cards in your hand by 1.,,<b>Spawn</b>: Draw 1 card and reduce the cost of cards in your hand by 1.,<b>등장</b>: 카드를 한 장 뽑고 내 손에 있는 카드들의 비용을 1 감소시킵니다.,<b>Al entrar</b>: saca 1 carta y reduce en 1 punto el costo de las cartas en tu mano.,<b>登场</b>：抽取一张卡牌后，使我的手牌中的卡牌费用减少1点。,<b>登場</b>：抽取一張卡牌，並使我手中卡牌的費用減少1。
HeinzFlavorText,To all who seek to become magicians... Speak to me...,,To all who seek to become magicians... Speak to me...,마법사가 되고 싶은 자는 나에게...,Todos los que quieran convertirse en magos... Hablen conmigo...,想成为魔法师的来我这儿……,想成為法師的請跟我來…
Hogul,Hogul,,Hogul,호걸,Hogul,虎精,虎傑
HogulDescription,Gain 2 ATK each time this minion defeats an enemy minion in battle.,,Gain 2 ATK each time this minion defeats an enemy minion in battle.,이 하수인이 전투에서 적 하수인을 처치할 때마다 공격력을 2 얻습니다.,Obtienes 2 puntos de ATQ cada vez que este secuaz derrote a un secuaz enemigo en la batalla.,该随从每次在战斗中击败敌方随从时，获得2点攻击力。,每當這名手下在戰鬥中消滅敵方手下時，獲得2點攻擊力。
HogulFlavorText,I'll eat ya even if you give me a rice cake!,,I'll eat ya even if you give me a rice cake!,떡 하나 주면~ 그래도 잡아먹지~!,¡Te comeré aunque me des un pastel de arroz!,给我一个年糕，那也照样吃你！,給我一塊年糕，我就～還是要吃了你～！
HolyShield,Holy Shield,,Holy Shield,홀리 실드,Escudo sagrado,神圣屏障,聖盾護鎧
HolyShieldDescription,Grant a minion a <b>Barrier</b> and +1/+1.,,Grant a minion a <b>Barrier</b> and +1/+1.,하수인에게 <b>결계</b>와 +1/+1을 부여합니다.,Le otorga una <b>Barrera</b> a un secuaz y +1/+1.,对随从赋予<b>结界</b>与+1/+1。,賦予手下<b>結界</b>及+1/+1的增益。
HolyShieldFlavorText,Go ahead and hit me. I'll just shine brighter.,,Go ahead and hit me. I'll just shine brighter.,"때려봐, 반짝거릴 뿐이야.","Anda, golpéame. Solo brillaré más.",尽管打，那也只会闪闪发光。,打打看，它只會發光而已。
Homunscullo,Homunscullo,,Homunscullo,호문스큘러,Homunscullo,变态哈闷,哈摩斯庫拉
HomunsculloDescription,<b>Exit</b>: Inflict <b>Fear</b> on all enemy minions.,,<b>Exit</b>: Inflict <b>Fear</b> on all enemy minions.,<b>퇴장</b>: 모든 적 하수인들을 <b>공포</b> 상태로 만듭니다.,<b>Al salir</b>: le inflige <b>Miedo</b> a todos los secuaces enemigos.,<b>退场</b>：使所有敌方随从陷入<b>恐惧</b>状态。,<b>退場</b>：使所有敵方手下陷入<b>恐怖</b>狀態。
HomunsculloFlavorText,"It was supposed to create new plant life, but an accidental drop of blood warped it into this mysterious creature.",,"It was supposed to create new plant life, but an accidental drop of blood warped it into this mysterious creature.","흙을 기본 재료로 하여 자연의 힘을 바탕으로 한 생물을 만들려고 했으나, 실수로 튀어 들어간 한 방울의 피 때문에 원래의 의도와는 전혀 다른 생물이 만들어졌다고 한다.","Se suponía que crearía nueva vida silvestre, pero una gota de sangre accidental la convirtió en una misteriosa criatura.",本来打算以泥土为基本材料，创造一种基于自然之力的生物，但由于因失误溅入的血液，创造出与原本的意图截然不同的生物。,據說本想以土壤為基本材料，以自然之力為基礎創造出一種生物，卻因為不小心滴進了一滴血，製造出了與原先意圖截然不同的生物。
Horntail,Horntail,,Horntail,혼테일,Colacuerno,暗黑龙王,闇黑龍王
HorntailDescription,<b>Spawn</b>: Deal 3 damage to all enemy minions.,,<b>Spawn</b>: Deal 3 damage to all enemy minions.,<b>등장</b>: 모든 적 하수인들에게 피해를 3 줍니다.,<b>Al entrar</b>: le inflige 3 puntos de daño a todos los secuaces enemigos.,<b>登场</b>：对所有敌方随从造成3点伤害。,<b>登場</b>：對所有敵方手下造成3點傷害。
HorntailFlavorText,"After many terrible trials, the expedition vanquished Horntail and emerged as heroes of Leafre!",,"After many terrible trials, the expedition vanquished Horntail and emerged as heroes of Leafre!","수많은 도전 끝에 혼테일을 물리친 원정대여, 그대들이 진정한 리프레의 영웅이다!","¡Tras atravesar terribles pruebas, la expedición logró derrotar al Colacuerno y consagrarse como héroes de Leafre!",远征队，你们经过无数次的挑战后，最终击败了暗黑龙王，你们才是真正的普雷村英雄！,歷經無數次挑戰後，擊敗了闇黑龍王的遠征隊啊，你們是真正的神木村英雄！
HornyMushroom,Horned Mushroom,,Horned Mushroom,뿔버섯,Hongo con cuernos,刺蘑菇,刺菇菇
HornyMushroomDescription,<b>Spawn</b>: Grant 1 ATK to a random allied minion.,,<b>Spawn</b>: Grant 1 ATK to a random allied minion.,<b>등장</b>: 다른 무작위 아군 하수인에게 공격력을 1 부여합니다.,<b>Al entrar</b>: le otorga 1 punto de ATQ a un secuaz aliado aleatorio.,<b>登场</b>：对我方的其他随机随从赋予1点攻击力。,<b>登場</b>：賦予其他的隨機我方手下1點攻擊力。
HornyMushroomFlavorText,Horned Mushrooms are thought to be Green Mushrooms that haven't gotten enough sunlight.,,Horned Mushrooms are thought to be Green Mushrooms that haven't gotten enough sunlight.,"초록버섯이 오랫동안 빛을 받지 못하면, 독은 사라지고 대신 뿔이 돋는다고 한다.",Se piensa que los hongos con cuernos son hongos verdes que no han recibido suficiente luz solar.,据说绿蘑菇如果长时间得不到光照，毒性会消失，然后会长出犄角。,據說，如果綠菇菇長時間沒有接收光照，毒素就會消失，取而代之的是長出角。
Huckle,Huckle,,Huckle,허클,Huckle,哈克,豪克
HuckleDescription,Draw a card at the start of each round.,,Draw a card at the start of each round.,라운드가 시작할 때마다 카드를 한 장 뽑습니다.,Saca una carta al comienzo de cada ronda.,每回合开始时，抽取一张卡牌。,每次回合開始時，抽取一張卡牌。
HuckleFlavorText,I don't know how long it's been since I've seen a human.,,I don't know how long it's been since I've seen a human.,얼마만에 만나는 인간인지 모르겠구려.,No sé cuánto tiempo ha pasado desde la última vez que vi un humano.,好久没见过人类了。,真不知時隔多久沒見到人類了。
HyperBody,Hyper Body,,Hyper Body,하이퍼 바디,Hipercuerpo,超级体力,神聖之火
HyperBodyDescription,Grant 2 HP to 2 random allied minions.\nDraw 1 card.,,Grant 2 HP to 2 random allied minions.\nDraw 1 card.,무작위 아군 하수인 둘에게 HP를 2 부여합니다.\n카드를 한 장 뽑습니다.,Otorga 2 PV a 2 secuaces aliados aleatorios.\nSaca 1 carta.,使两个随机我方随从恢复2点血量。\n抽取一张卡牌。,賦予隨機一個我方手下2點HP。\n抽取一張卡牌。
HyperBodyFlavorText,Pump it up!,,Pump it up!,피뻥!,¡Súbele!,增伤！,血量暴增！
Hypnotize,Hypnotize,,Hypnotize,마인드 컨트롤,Hipnotizar,心灵控制,心靈控制
HypnotizeDescription,Take a random enemy minion.,,Take a random enemy minion.,무작위 적 하수인을 가져옵니다.,Enfrenta a un secuaz enemigo aleatorio.,拿来随机敌方随从。,獲得1名隨機敵方手下。
HypnotizeFlavorText,You're my best friend now.,,You're my best friend now.,"너, 내 동료가 돼라!",Ahora somos mejores amigos.,你，加入我的队伍！,你，成為我的夥伴吧！
Icarus,Icarus,,Icarus,이카루스,Ícaro,伊卡鲁斯,伊卡路斯
IcarusDescription,<b>Spawn</b>: Draw 1 card.,,<b>Spawn</b>: Draw 1 card.,<b>등장</b>: 카드를 한 장 뽑습니다.,<b>Al entrar</b>: saca 1 carta.,<b>登场</b>：抽取一张卡牌。,<b>登場</b>：抽取一張卡牌。
IcarusFlavorText,I want to fly...,,I want to fly...,하늘을 날고 싶어...,Quiero volar...,想在天上飞……,想翱翔天際…
IceElemental,Ice Spirit,,Ice Spirit,얼음 정령,Espíritu de hielo,冰精灵,冰凍精靈
IceElementalDescription,<b>Exit</b>: <b>Freeze</b> all minions.,,<b>Exit</b>: <b>Freeze</b> all minions.,<b>퇴장</b>: 모든 하수인들을 <b>얼음</b> 상태로 만듭니다.,<b>Al salir</b>: <b>Congela</b> a todos los secuaces.,<b>退场</b>：使所有随从陷入<b>冰冻</b>状态。,<b>退場</b>：使所有手下陷入<b>冰凍</b>狀態。
IceElementalFlavorText,Hard. Like ice.,,Hard. Like ice.,얼음처럼. 단단하게.,Duro. Como el hielo.,坚如冰块！,像冰一樣，堅硬地。
IceShot,Ice Shot,,Ice Shot,아이스 샷,Disparo helado,冰冻射击,寒冰箭
IceShotDescription,Deal 2 damage to the minion and any adjacent minions and <b>Freeze</b> them.,,Deal 2 damage to the minion and any adjacent minions and <b>Freeze</b> them.,하수인과 그 양옆에 있는 하수인들에게 피해를 2 주고 <b>얼음</b> 상태로 만듭니다.,Inflige 2 puntos de daño a un secuaz y a cualquier secuaz adyacente y los <b>congela</b>.,对指定随从与两侧的随从造成2点伤害，并使其陷入<b>冰冻</b>状态。,對手下及其兩側的手下造成2點傷害，並使其陷入<b>冰凍</b>狀態。
IceShotFlavorText,Like an ice americano in the dead of winter.,,Like an ice americano in the dead of winter.,얼어 죽어도 아이스 아메리카노.,Como un café helado en pleno invierno.,冻死也要喝冰美式。,即使冷死也要喝冰美式。
IceSplitter,Ice Splitter,,Ice Splitter,쿨링 이펙트,Partehielos,寒冰喷射,寒霜噴射
IceSplitterDescription,Deal 1 damage to a minion and <b>Freeze</b> them.,,Deal 1 damage to a minion and <b>Freeze</b> them.,하수인에게 피해를 1 주고 <b>얼음</b> 상태로 만듭니다.,Le inflige 1 punto de daño a un secuaz y lo <b>Congela</b>.,对随从造成1点伤害，并使其陷入<b>冰冻</b>状态。,對手下造成1點傷害，並使其陷入<b>冰凍</b>狀態。
IceSplitterFlavorText,I'll turn you into a popsicle!,,I'll turn you into a popsicle!,냉동 인간으로 만들어 드릴게요. 돈은 안 내셔도 돼요!,¡Te convertiré en una paleta!,我来帮你变成冷冻人，无需付钱哦！,我要把你變成冷凍人。不用付錢！
IceStrike,Ice Strike,,Ice Strike,아이스 스트라이크,Golpe helado,冰霜打击,冰風暴
IceStrikeDescription,Deal 1 damage to all minions and <b>Freeze</b> them.,,Deal 1 damage to all minions and <b>Freeze</b> them.,모든 하수인들에게 피해를 1 주고 <b>얼음</b> 상태로 만듭니다.,Inflige 1 de daño a todos los secuaces y los <b>congela</b>.,对所有敌方随从造成1点伤害，并使其陷入<b>冰冻</b>状态。,對所有手下造成1點傷害，並使其陷入<b>冰凍</b>狀態。
IceStrikeFlavorText,Freeze!,,Freeze!,그대로 멈춰라!,¡Quietos!,停下！,原地停下！
Infinity,Infinity,,Infinity,인피니티,Infinidad,无限,魔力無限
InfinityDescription,Draw 1 card. Gain 1 MP at the start of each round this game.,,Draw 1 card. Gain 1 MP at the start of each round this game.,카드를 한 장 뽑습니다. 이번 게임 동안 라운드가 시작할 때마다 MP를 1 얻습니다.,Saca 1 carta. Otorga 1 de PM al comienzo de cada ronda de esta partida.,抽取一张卡牌。在本局游戏中，每回合开始时获得1点魔力。,抽取一張卡牌。本場遊戲中，每次回合開始時，獲得1點MP。
InfinityFlavorText,What? You can just get endless mana?!,,What? You can just get endless mana?!,뭐? 마나가 복사가 된다고?!,¿Qué? ¿¡Puedes tener maná infinito!?,什么？魔力能复制？！,什麼？魔力竟然可以複製？！
IronArrow,Ice Arrows,,Ice Arrows,아이언 에로우,Flechas heladas,铁箭,穿透之箭
IronArrowDescription,"Deal 3, 2, and 1 damage to the minion and 2 adjacent minions, respectively.",,"Deal 3, 2, and 1 damage to the minion and 2 adjacent minions, respectively.","하수인과 그 오른쪽에 있는 두 하수인들에게 각각 3, 2, 1의 피해를 줍니다.","Inflige 3, 2 y 1 de daño a un secuaz y a 2 secuaces adyacentes respectivamente.",对指定随从与右侧的两个随从各造成3、2、1点伤害。,對手下及其右側的兩個手下各造成3、2、1點傷害。
IronArrowFlavorText,Three birds with one shot.,,Three birds with one shot.,한 발에 세 놈.,Tres pájaros de un tiro.,一箭三雕。,一箭三雕。
IronHog,Iron Hog,,Iron Hog,아이언호그,Cerdo de hierro,铁甲猪,鋼之肥肥
IronHogDescription,<b>Spawn</b>: Grant 2 HP to other allied minions.,,<b>Spawn</b>: Grant 2 HP to other allied minions.,<b>등장</b>: 다른 아군 하수인들에게 HP를 2 부여합니다.,<b>Al entrar</b>: otorga 2 PV a otros secuaces aliados.,<b>登场</b>：对我方的其他随从赋予2点血量。,<b>登場</b>：賦予其他的我方手下2點HP。
IronHogFlavorText,Even the world of swine has its heroes.\nThose who don this shining armor are truly pigs among pigs.,,Even the world of swine has its heroes.\nThose who don this shining armor are truly pigs among pigs.,돼지들의 세계에도 영웅은 있다.\n번쩍이는 강철 갑옷이야말로 영웅 돼지의 상징이라 할 수 있다.,Hasta los cerdos tienen héroes.\nLos que visten esta armadura brillante son verdaderos cerdos entre sus pares.,猪的圈子里也存在英雄。\n闪耀的钢铁铠甲可以说是英雄猪的象征。,肥肥的世界裡也有英雄。\n閃耀的鋼鐵盔甲，可以說是英雄肥肥的象徵。
JaneDoe,Jane Doe,,Jane Doe,정체불명의 그녀,Fulana de Tal,神秘的女人,神秘的女孩
JaneDoeDescription,<b>Spawn</b>: Add a random ally that died this game back into your hand.,,<b>Spawn</b>: Add a random ally that died this game back into your hand.,<b>등장</b>: 이번 게임 동안 죽은 무작위 아군 하수인을 내 손으로 다시 가져옵니다.,<b>Al entrar</b>: añade a tu baraja a un aliado aleatorio que haya muerto en esta partida.,<b>登场</b>：将本局游戏中死亡的随机我方随从放回我的手牌。,<b>登場</b>：將一名本場遊戲中已死亡的隨機我方手下加入手牌。
JaneDoeFlavorText,I can't wait for the final reveal!,,I can't wait for the final reveal!,어서 빨리 붕대를 풀고 거울을 보고 싶어요.,¡Ya quiero ver la revelación final!,我想快点解开绷带，照照镜子。,想快點解開繃帶照照鏡子。
JrBalrog,Jr. Balrog,,Jr. Balrog,주니어 발록,Pequeño Balrog,小巴洛,巴洛古
JrBalrogDescription,<b>Spawn</b>: Deal 6 damage to a random enemy.,,<b>Spawn</b>: Deal 6 damage to a random enemy.,<b>등장</b>: 무작위 적에게 피해를 6 줍니다.,<b>Al entrar</b>: inflige 6 puntos de daño a un enemigo aleatorio.,<b>登场</b>：对随机敌方造成6点伤害。,<b>登場</b>：對隨機一個敵人造成6點傷害。
JrBalrogFlavorText,"Didn't I say the old, the pregnant, and the low-leveled shouldn't bother?",,"Didn't I say the old, the pregnant, and the low-leveled shouldn't bother?","노약자나 임산부, 자신의 레벨이 낮다고 생각되는 사람은 열지 말라고 했을 텐데요.","¿No dije que los ancianos, las embarazadas y los de bajo nivel no tenían que venir?",好像说过老弱病残、孕妇或认为自己等级低的人千万不要打开。,我應該有說過，弱者不要打開。
JrBoogie,Jr. Boogie,,Jr. Boogie,주니어 부기,Jr. Boogie,小布吉,幼魔精靈
JrBoogieDescription,Draw a card each time this minion takes damage.,,Draw a card each time this minion takes damage.,이 하수인이 피해를 받을 때마다 카드를 한 장 뽑습니다.,Saca una carta cada vez que este secuaz recibe daño.,该随从每次受到伤害时，抽取一张卡牌。,每當此手下受到傷害時，抽取一張卡牌。
JrBoogieFlavorText,I'm warning you. Hands off.,,I'm warning you. Hands off.,건드리면 큰일납니다. 정말로요.,Te lo advierto. Quita tus manos de encima.,碰它就出大事了，真的。,碰了會出大事的。真的。
JrMimic,Jr. Mimic,,Jr. Mimic,주니어 미믹,Simulador Jr.,小箱子怪,寶箱怪
JrMimicDescription,<b>Exit</b>: The enemy draws 1 card.,,<b>Exit</b>: The enemy draws 1 card.,<b>퇴장</b>: 적이 카드를 한 장 뽑습니다.,<b>Al salir</b>: el enemigo saca 1 carta.,<b>退场</b>：敌方抽取一张卡牌。,<b>退場</b>：敵方抽取一張卡牌。
JrMimicFlavorText,The easiest way to catch adventurers unawares in a dungeon is by pretending to be a boring box.,,The easiest way to catch adventurers unawares in a dungeon is by pretending to be a boring box.,던전에서 모험가들의 뒤통수를 후려치기 위해서는 상자로 변신하는 게 가장 손쉬운 수단이라고 한다.,La mejor forma de sorprender a los aventureros es pretendiendo ser una caja cualquiera.,据说，为了在副本中从背后偷袭冒险家，变成箱子是最方便的手段。,據說，想在地城裡打冒險家的後腦勺，最簡單的方法就是變身成箱子。
JrNecki,Jr. Necki,,Jr. Necki,주니어 네키,Pequeño Necki,小青蛇,青蛇
JrNeckiDescription,<b>Venom</b>,,<b>Venom</b>,<b>맹독</b>,<b>Veneno</b>,<b>剧毒</b>,<b>劇毒</b>
JrNeckiFlavorText,MISS MISS MISS\nMISS MISS MISS,,MISS MISS MISS\nMISS MISS MISS,MISS MISS MISS\nMISS MISS MISS,FALLO FALLO FALLO\nFALLO FALLO FALLO,MISS MISS MISS\nMISS MISS MISS,MISS MISS MISS\nMISS MISS MISS
JrNewtie,Jr. Newtie,,Jr. Newtie,뉴트주니어,Neófito Jr.,小蜥蜴,幼年龍
JrNewtieDescription,Transforms into a Nest Golem after you play a skill.,,Transforms into a Nest Golem after you play a skill.,내가 스킬을 낸 후에 네스트골렘으로 변신합니다.,Se transforma en un Gólem nido cuando juegas una habilidad.,在我触发技能后，变身为泥人妖。,我方使出技能後，將變身成幼龍保護者。
JrNewtieFlavorText,"When this young dragon is attacked, their guardian spirit appears to defend them.",,"When this young dragon is attacked, their guardian spirit appears to defend them.",용의 둥지에 있는 사악한 어린 용족이다. 뉴트주니어가 공격 당하면 이를 수호하는 둥지의 전령이 나타난다.,"Cuando atacan a este joven dragón, su espíritu guardián aparece para defenderlo.",栖息在龙之巢穴的邪恶小龙族。如果小蜥蜴受到攻击，守护它的巢穴使者就会出现。,在龍之巢穴裡的邪惡幼龍。幼年龍受到攻擊時，守護他們的巢穴精靈就會跑出來。
JrPepe,Jr. Pepe,,Jr. Pepe,주니어 페페,Pequeño Pepe,小佩佩,小企鵝王
JrPepeDescription,Freeze minions who are damaged by this minion.,,Freeze minions who are damaged by this minion.,이 하수인에게 피해를 받은 하수인을 얼음 상태로 만듭니다.,Congela secuaces dañados por este secuaz.,被该随从受到伤害的随从陷入冰冻状态。,讓受到這個手下傷害的手下陷入冰凍狀態。
JrPepeFlavorText,Terrified of sealions.,,Terrified of sealions.,바다표범을 가장 무서워합니다.,Horrorizado por los lobos marinos.,最惧怕海豹。,我最害怕海豹。
JrWraith,Jr. Wraith,,Jr. Wraith,주니어 레이스,Pequeño espectro,小幽灵,小幽靈
JrWraithDescription,<b>Spawn</b>: Return a random enemy minion to that player's hand.,,<b>Spawn</b>: Return a random enemy minion to that player's hand.,<b>등장</b>: 무작위 적 하수인을 손으로 돌려보냅니다.,<b>Al entrar</b>: regresa a un secuaz enemigo aleatorio a la mano de ese jugador.,<b>登场</b>：将敌方随机随从移回对方手牌。,<b>登場</b>：使隨機一個敵方手下返回手牌中。
JrWraithFlavorText,A fully developed ghost that haunts the tunnels of the subway.,,A fully developed ghost that haunts the tunnels of the subway.,지하철의 깊고 어두운 그림자에서 만들어진 유령 몬스터이다.,Un fantasma completamente desarrollado que acecha los túneles del metro.,在地铁深处的阴影中造就而成的幽灵怪物。,從地鐵幽深黑暗的陰影中誕生的幽靈怪物。
JrYeti,Jr. Yeti,,Jr. Yeti,주니어 예티,Pequeño Yeti,小白雪人,變形小雪球
JrYetiDescription,Transform into a Yeti at the start of the next round.,,Transform into a Yeti at the start of the next round.,다음 라운드가 시작할 때 예티로 변신합니다.,Se transforma en un yeti al comienzo de la siguiente ronda.,下一回合开始时，将变为白雪人。,下一回合開始時會變身為雪吉拉。
JrYetiFlavorText,*scratch*,,*scratch*,긁적...,*raya*,挠头……,搔癢…
KingSageCat,King Sage Cat,,King Sage Cat,요괴선사,Rey gato sabio,妖怪禅师,喵怪仙人
KingSageCatDescription,<b>Spawn</b>: Sort enemy minions from lowest to highest ATK.,,<b>Spawn</b>: Sort enemy minions from lowest to highest ATK.,<b>등장</b>: 모든 적 하수인들을 공격력이 증가하는 순서대로 정렬합니다.,<b>Al entrar</b>: ordena a los secuaces enemigos por su ATQ de manera ascendente.,<b>登场</b>：将所有敌方随从以攻击力递增的顺序依次排列。,<b>登場</b>：將所有敵方手下依攻擊力遞增的順序排列。
KingSageCatFlavorText,This ancient being lives deep in the Goblin Forest.,,This ancient being lives deep in the Goblin Forest.,요괴의 숲 깊숙한 곳에 살고 있는 오래된 요물이다.,Este antiguo ser vive en las profundidades del Bosque de los duendes.,在妖怪森林深处生活的古老妖物。,棲息在妖怪之林深處的古老妖物。
KingSlime,King Slime,,King Slime,킹슬라임,Rey baba,绿水灵王,超級綠水靈
KingSlimeDescription,<b>Spawn</b>: Add 2 Slimes to your hand.,,<b>Spawn</b>: Add 2 Slimes to your hand.,<b>등장</b>: 슬라임 둘을 내 손으로 가져옵니다.,<b>Al entrar</b>: saca 2 babas.,<b>登场</b>：将两只绿水灵放入我的手牌。,<b>登場</b>：將兩隻綠水靈放入我的手牌。
KingSlimeFlavorText,A slime that reached massive size thanks to the magical experiments of three sisters.,,A slime that reached massive size thanks to the magical experiments of three sisters.,마법을 연구하던 세 자매에 의해 거대한 몸집을 갖게 된 슬라임이다.,Baba que alcanza un gran tamaño gracias a los experimentos mágicos de tres hermanas.,被研究魔法的三姐妹施法后拥有庞大躯体的绿水灵。,由研究魔法的三姊妹所創造，擁有巨大身軀的綠水靈。
Kino,Kino,,Kino,키노,Kino,花蘑菇仔,菇菇寶貝
